nare,gra,bg,bgm,se,ユークの家
yuuku,y1,bg,bgm,door,ただいまー。
nenea,n5,bg,bgm,se,おかえり！お兄ちゃん！
miria,m7,bg,bgm,se,おかえりなさい、ユークさん。お邪魔しています。
yuuku,y2,bg,bgm,se,？ネネア、彼女は？
nenea,n4,bg,bgm,se,ミリアさんだよ。お兄ちゃんに用があるんだって！
miria,m4,bg,bgm,se,初めまして、ミリアです。
yuuku,y2,bg,bgm,se,初めまして、兄のユークです。俺に用って何ですか？
miria,m2,bg,bgm,se,…ネネアちゃん、すみません。どこか人を気にせず話せる場所はありませんか？
nenea,n4,bg,bgm,se,この家使っても大丈夫ですよ。お母さんたちはしばらく帰ってこないだろうしわたしも夕飯の買い出しに行くので！
miria,m4,bg,bgm,se,ありがとうございます。
yuuku,y8,bg,bgm,se,ネネア！グラタンがいい！
nenea,n1,bg,bgm,se,却下！今日はシチューなの！
nenea,n5,bg,bgm,se,それじゃあわたし、そろそろお買い物行ってくるね。ミリアさん、ごゆっくりどうぞ～
miria,m4,bg,bgm,se,ありがとうございます。行ってらっしゃい、ミリアちゃん。
yuuku,y1,bg,bgm,se,行ってらっしゃい、ミリア。気をつけるんだぞ。
nenea,n7,bg,bgm,door,………
yuuku,y2,bg,bgm,se,それで、話って何ですか？
miria,m2,bg,bgm,se,旅から戻って来たばかりで、お疲れのところすみません。ですが、事は一刻を争います。
yuuku,y3,bg,bgm,se,ええと…、どういうことですか？
miria,m5,bg,bgm,se,最近、突然消える人や村などが増えていることをご存じですか？
yuuku,y2,bg,bgm,se,まあ、旅の間に何度か見かけましたけど…。それが何か関係あるんですか？
miria,m2,bg,bgm,se,大ありです。これは、この世界が消滅へと進んで行っていることを表しています。
miria,m5,bg,bgm,se,それも自然にではありません。
miria,m6,bg,bgm,se,ある『害虫』が原因でです！
yuuku,y3,bg,bgm,se,そ、そうなんですか。
yuuku,y3,bg,bgm,se,（いきなり熱くなった…。）
miria,m2,bg,bgm,se,その害虫…私たちは『本ノ蟲』と呼んでいますが、そいつらは物語にある【言葉】を食べてしまっているんです！
miria,m5,bg,bgm,se,そのせいでこの本の読者が減り世界が消滅の危機に陥っています！
miria,m2,bg,bgm,se,なので！『本ノ蟲』を排除し、物語にできた【穴】を埋めてください！
yuuku,y3,bg,bgm,se,いや、無理です。お引き取り下さい。
miria,m6,bg,bgm,se,引けません！お願いします！
yuuku,y3,bg,bgm,se,そうは言われても…
yuuku,y2,bg,bgm,se,俺、物語の詳細を知らないですし、剣は一応あるけどただの放浪者にすぎません。
yuuku,y2,bg,bgm,se,もっと適任が居るんじゃないですか？
miria,m1,bg,bgm,se,現状、あなた以外に物語の再構成を行える立ち位置の者は居ないのです。
yuuku,y3,bg,bgm,se,はぁ…。
miria,m2,bg,bgm,se,…今日のところは帰りますがまた明日来ますので。よい返事を期待しています。
yuuku,y6,bg,bgm,se,…どうぞご勝手に。
hide,0,bg,bgm,se,翌日
nenea,n5,bg,bgm,se,お兄ちゃん、ミリアさん今日も来るんだよね？
yuuku,y6,bg,bgm,se,らしいな。
nenea,n5,bg,bgm,se,じゃあおいしいお菓子用意しとかないとだね！
nenea,n6,bg,bgm,se,何にしようかなぁ？
yuuku,y6,bg,bgm,se,（はぁ…。憂鬱だ。）
nenea,n6,bg,bgm,se,キャア！
yuuku,y2,bg,bgm,se,ネネア？
nenea,moth,bg,change,se,お兄ちゃん、助けてっ！
yuuku,y4,bg,bgm,se,（なんだ、こいつ！？）
yuuku,y5,bg,bgm,se,待ってろ！すぐ助けてやる！
nenea,moth2,bg,bgm,se,お兄ちゃっ…！
nenea,n7,bg,bgm,door,……
yuuku,y4,bg,bgm,se,ネネアッ！
yuuku,y5,bg,bgm,dash,くそっ！逃げんな！！
yuuku,y4,forest,bgm,door,！？なんだ…これ。こんな森じゃなかったはず…！
yuuku,y4,bg,bgm,se,あっ！お前、逃げんなって！
yuuku,y5,bg,bgm,dash,くそ！待ってろ！ネネア！
0,0,0,0,book,
